scenario_name,array_gini_coefficient,arr_size,total_trials,regular_avg,regular_std,epsilon,avg_comparisons,std_comparisons,improvement_pct,ci_lower,ci_upper,margin_of_error,sample_size,t_statistic,p_value,is_significant,drunkness_level
Sober Array,0.0,5000,100,11.38,1.716114945174275,-0.3,12.4,2.3224856068314814,-8.963093145869943,11.939168468929005,12.860831531070996,0.4608315310709955,100,3.5321850486062787,0.0005221042729143583,True,0.3
Sober Array,0.0,5000,100,11.38,1.716114945174275,-0.27999999999999997,12.29,2.3668373818070374,-7.996485061511409,11.820368114555404,12.759631885444595,0.46963188544459517,100,3.1126859848150095,0.0021559237221093646,True,0.27999999999999997
Sober Array,0.0,5000,100,11.38,1.716114945174275,-0.25999999999999995,11.86,2.0251948403583646,-4.217926186291727,11.4581574067653,12.261842593234698,0.4018425932346988,100,1.8082380293097986,0.07212766695523805,False,0.25999999999999995
Sober Array,0.0,5000,100,11.38,1.716114945174275,-0.23999999999999994,11.83,2.0053212040252135,-3.9543057996485,11.432100767375337,12.227899232624663,0.39789923262466304,100,1.7049413489215461,0.08981121473983726,False,0.23999999999999994
Sober Array,0.0,5000,100,11.38,1.716114945174275,-0.21999999999999992,12.23,1.7515072873892867,-7.469244288224952,11.882462954967119,12.577537045032882,0.3475370450328813,100,3.4664067770083484,0.0006468571630854628,True,0.21999999999999992
Sober Array,0.0,5000,100,11.38,1.716114945174275,-0.1999999999999999,11.76,2.142027737514813,-3.3391915641476184,11.33497522526213,12.185024774737869,0.42502477473786826,100,1.384490577538188,0.16784060937705675,False,0.1999999999999999
Sober Array,0.0,5000,100,11.38,1.716114945174275,-0.17999999999999988,11.79,2.031544170617936,-3.602811950790846,11.386897561892123,12.193102438107875,0.4031024381078756,100,1.5417214239088377,0.1247825440204379,False,0.17999999999999988
Sober Array,0.0,5000,100,11.38,1.716114945174275,-0.15999999999999986,11.75,1.7254775360093006,-3.2513181019332094,11.407627822360292,12.092372177639708,0.3423721776397088,100,1.5203923320565522,0.13000773036329444,False,0.15999999999999986
Sober Array,0.0,5000,100,11.38,1.716114945174275,-0.13999999999999985,11.31,1.7735144587382239,0.6151142355008812,10.958096254722587,11.661903745277414,0.351903745277413,100,-0.2836449054260644,0.7769792095206229,False,0.13999999999999985
Sober Array,0.0,5000,100,11.38,1.716114945174275,-0.11999999999999983,11.76,1.5382004440451205,-3.3391915641476184,11.454787660410748,12.065212339589252,0.3052123395892511,100,1.648887034300055,0.10077532457135834,False,0.11999999999999983
Sober Array,0.0,5000,100,11.38,1.716114945174275,-0.09999999999999981,11.53,1.2508986668581412,-1.318101933216156,11.281794566060046,11.778205433939952,0.24820543393995362,100,0.7063382339988086,0.48088584403367207,False,0.09999999999999981
Sober Array,0.0,5000,100,11.38,1.716114945174275,-0.0799999999999998,11.71,1.5524174696260025,-2.899824253075572,11.401966694094988,12.018033305905014,0.30803330590501293,100,1.4260414670597201,0.15544680028675253,False,0.0799999999999998
Sober Array,0.0,5000,100,11.38,1.716114945174275,-0.059999999999999776,11.53,1.3518038827336374,-1.318101933216156,11.261772782076466,11.798227217923532,0.2682272179235339,100,0.6866283603973222,0.49316430529889366,False,0.059999999999999776
Sober Array,0.0,5000,100,11.38,1.716114945174275,-0.03999999999999976,11.29,1.4859272519136992,0.7908611599297155,10.995159795804412,11.584840204195586,0.2948402041955875,100,-0.3964707581153773,0.6921934613422697,False,0.03999999999999976
Sober Array,0.0,5000,100,11.38,1.716114945174275,-0.01999999999999974,11.48,1.4458578942984164,-0.8787346221441092,11.193110425666044,11.766889574333957,0.2868895743339567,100,0.4456319332667284,0.6563640200852792,False,0.01999999999999974
Sober Array,0.0,5000,100,11.38,1.716114945174275,2.7755575615628914e-16,11.51,1.4389600621998029,-1.1423550087873375,11.224479105203915,11.795520894796084,0.2855208947960837,100,0.5804695684940198,0.562278091738335,False,2.7755575615628914e-16
Sober Array,0.0,5000,100,11.38,1.716114945174275,0.020000000000000295,11.38,1.405472708861163,0.0,11.101123722619485,11.658876277380516,0.2788762773805147,100,0.0,1.0,False,0.020000000000000295
Sober Array,0.0,5000,100,11.38,1.716114945174275,0.04000000000000031,11.43,1.5325096601933244,-0.43936731107204685,11.12591683538936,11.73408316461064,0.30408316461064056,100,0.21731662509300784,0.8281882138884787,False,0.04000000000000031
Sober Array,0.0,5000,100,11.38,1.716114945174275,0.06000000000000033,11.28,1.6641192653451642,0.8787346221441249,10.949802634436994,11.610197365563005,0.33019736556300505,100,-0.4183279005052047,0.6761611889914804,False,0.06000000000000033
Sober Array,0.0,5000,100,11.38,1.716114945174275,0.08000000000000035,11.64,1.54736661277909,-2.2847100175746906,11.332968893672517,11.947031106327485,0.3070311063274842,100,1.1251938917289352,0.2618834487141937,False,0.08000000000000035
Sober Array,0.0,5000,100,11.38,1.716114945174275,0.10000000000000037,11.4,1.6391670710664874,-0.17574692442881873,11.074753691123504,11.725246308876496,0.3252463088764962,100,0.08427558740421963,0.9329226478625107,False,0.10000000000000037
Sober Array,0.0,5000,100,11.38,1.716114945174275,0.12000000000000038,11.55,1.7371461561068393,-1.4938488576449904,11.205312514980466,11.894687485019535,0.3446874850195339,100,0.6961878642351346,0.4871277241757135,False,0.12000000000000038
Sober Array,0.0,5000,100,11.38,1.716114945174275,0.1400000000000004,11.57,1.7823772571677095,-1.6695957820738092,11.216337683234428,11.923662316765572,0.35366231676557197,100,0.7679090830901916,0.44345733932653053,False,0.1400000000000004
Sober Array,0.0,5000,100,11.38,1.716114945174275,0.16000000000000042,11.84,1.618828607544993,-4.042179261862909,11.518789283532202,12.161210716467798,0.32121071646779714,100,1.9498429365756513,0.052611644923031685,False,0.16000000000000042
